,name,place,price,realPrice,saleCount
0,圣诞节头饰装饰品发箍儿童&lt;spanclass=H&gt;圣诞帽&lt;/span&gt;子成人鹿角头箍发光发饰装扮用品,浙江 金华,3.8,2.2,85348
1,圣诞节装饰用品圣诞老人帽子儿童成人卡通头饰红色&lt;spanclass=H&gt;圣诞帽&lt;/span&gt;圣诞礼品,浙江 金华,5.2,1.1,11389
2,圣诞节帽子批發成人儿童装饰品&lt;spanclass=H&gt;圣诞帽&lt;/span&gt;圣诞老人（满18元包邮）,湖北 武汉,0.0,0.88,195
3,2019&lt;spanclass=H&gt;圣诞帽&lt;/span&gt;圣诞装饰品成人小丑搞怪帽子儿童DIY帽子玩具橱窗装饰,河南 郑州,0.0,1.9,33
4,&lt;spanclass=H&gt;圣诞帽&lt;/span&gt;子成人儿童圣诞老人装扮用品圣诞节装饰品圣诞节礼物小礼品,广东 深圳,0.0,3.0,43
5,宽宽的羊羔绒毛边夜光雪花摇粒绒&lt;spanclass=H&gt;圣诞帽&lt;/span&gt;,江苏 南京,0.0,20.0,58
6,圣诞节装饰品大人儿童装扮发箍头扣头饰圣诞雪人鹿角头箍&lt;spanclass=H&gt;圣诞帽&lt;/span&gt;,浙江 杭州,2.96,1.78,74
7,&lt;spanclass=H&gt;圣诞帽&lt;/span&gt;子成人儿童圣诞老人装扮用品圣诞节装饰品幼儿园礼物老人帽,浙江 金华,0.0,1.5,33
8,&lt;spanclass=H&gt;圣诞帽&lt;/span&gt;成人毛绒鹿角雪花帽子儿童礼物装饰头饰圣诞节老人装扮用品,浙江 金华,0.0,4.0,250
9,圣诞节道具无纺布&lt;spanclass=H&gt;圣诞帽&lt;/span&gt;圣诞派对party装饰成人儿童&lt;spanclass=H&gt;圣诞帽&lt;/span&gt;子头饰,浙江 金华,0.0,0.8,172
10,圣诞节装饰品活动幼儿园儿童成人&lt;spanclass=H&gt;圣诞帽&lt;/span&gt;发箍圣诞老人圣诞树装饰,浙江 杭州,8.0,3.5,134
